"gene_name","old_annotation","pfams","GOs"
"LOC105426635","sprouty-related, EVH1 domain-containing protein 1 isoform X1","PF00568|WH1 domain; PF05210|Sprouty protein (Spry)","GO:0007275|multicellular organism development; GO:0009966|regulation of signal transduction; GO:0016020|membrane"
"LOC105426636","adrenodoxin-like protein, mitochondrial","PF00111|2Fe-2S iron-sulfur cluster binding domain","GO:0051536|iron-sulfur cluster binding"
"LOC105426685","uncharacterized protein LOC105426685","PF00130|Phorbol esters/diacylglycerol binding domain (C1 domain); PF00595|PDZ domain; PF00621|RhoGEF domain; PF17838|PH domain","GO:0035556|intracellular signal transduction; GO:0005515|protein binding; GO:0005085|guanyl-nucleotide exchange factor activity"
"LOC105426686","WD repeat-containing protein 26","PF00400|WD domain, G-beta repeat","GO:0005515|protein binding"
"LOC105426687","coiled-coil and C2 domain-containing protein 1-like",NA,NA
"LOC105426637","V-type proton ATPase subunit d","PF01992|ATP synthase (C/AC39) subunit",NA
"LOC105426638","probable tRNA(His) guanylyltransferase","PF14413|Thg1 C terminal domain; PF04446|tRNAHis guanylyltransferase","GO:0000287|magnesium ion binding; GO:0006400|tRNA modification; GO:0008193|tRNA guanylyltransferase activity"
"LOC105426638","probable tRNA(His) guanylyltransferase","PF14413|Thg1 C terminal domain; PF04446|tRNAHis guanylyltransferase","GO:0000287|magnesium ion binding; GO:0006400|tRNA modification; GO:0008193|tRNA guanylyltransferase activity"
"LOC105426639","lipoyl synthase, mitochondrial isoform X2","PF16881|N-terminal domain of lipoyl synthase of Radical_SAM family; PF04055|Radical SAM superfamily","GO:0003824|catalytic activity; GO:0051536|iron-sulfur cluster binding"
"LOC105426639","lipoyl synthase, mitochondrial isoform X1","PF16881|N-terminal domain of lipoyl synthase of Radical_SAM family; PF04055|Radical SAM superfamily","GO:0003824|catalytic activity; GO:0051536|iron-sulfur cluster binding"
"LOC105426640","sodium-dependent phosphate transport protein 1, chloroplastic-like","PF07690|Major Facilitator Superfamily","GO:0022857|transmembrane transporter activity; GO:0055085|transmembrane transport"
"LOC105426642","transmembrane protein 53 isoform X2","PF05705|Eukaryotic protein of unknown function (DUF829)",NA
"LOC105426642","transmembrane protein 53 isoform X1","PF05705|Eukaryotic protein of unknown function (DUF829)",NA
"LOC105426688","fibrillin-3","PF14670|Coagulation Factor Xa inhibitory site; PF02494|HYR domain; PF12662|Complement Clr-like EGF-like; PF07645|Calcium-binding EGF domain","GO:0005509|calcium ion binding"
"LOC105426644","polyubiquitin-B isoform X1","PF00240|Ubiquitin family","GO:0005515|protein binding"
"LOC105426644","polyubiquitin-B isoform X2","PF00240|Ubiquitin family","GO:0005515|protein binding"
"LOC105426689","zinc finger RNA-binding protein","PF07528|DZF domain; PF12874|Zinc-finger of C2H2 type",NA
"LOC105426645","N-acetylglucosamine-6-sulfatase-like isoform X1","PF00884|Sulfatase","GO:0008484|sulfuric ester hydrolase activity"
"LOC105426645","N-acetylglucosamine-6-sulfatase-like isoform X2","PF00884|Sulfatase","GO:0008484|sulfuric ester hydrolase activity"
"LOC105426690","uncharacterized protein LOC105426690",NA,NA
"LOC105426691","putative uncharacterized protein DDB_G0288537",NA,NA
"LOC105426646","uncharacterized protein LOC105426646",NA,NA
"LOC105426692","zinc finger protein 271-like","PF00096|Zinc finger, C2H2 type",NA
"LOC105426693","gastrula zinc finger protein XlCGF26.1-like, partial","PF00096|Zinc finger, C2H2 type",NA
"LOC105426647","zinc finger protein 239-like, partial","PF00096|Zinc finger, C2H2 type",NA
"LOC105426648","zinc finger protein 239-like","PF13912|C2H2-type zinc finger; PF12874|Zinc-finger of C2H2 type; PF00096|Zinc finger, C2H2 type",NA
"LOC105426649","zinc finger protein 540-like","PF00096|Zinc finger, C2H2 type",NA
"LOC105426652","zinc finger protein 18-like",NA,NA
"LOC105426653","LOW QUALITY PROTEIN: uncharacterized protein LOC105426653",NA,NA
"LOC105426654","uncharacterized protein LOC105426654","PF10260|Uncharacterized conserved domain (SAYSvFN)",NA
"LOC105426655","L-asparaginase isoform X1","PF13857|Ankyrin repeats (many copies); PF00710|Asparaginase, N-terminal; PF12796|Ankyrin repeats (3 copies); PF17763|Glutaminase/Asparaginase C-terminal domain",NA
"LOC105426655","L-asparaginase isoform X1","PF13857|Ankyrin repeats (many copies); PF00710|Asparaginase, N-terminal; PF12796|Ankyrin repeats (3 copies); PF17763|Glutaminase/Asparaginase C-terminal domain",NA
"LOC105426655","L-asparaginase isoform X2","PF13857|Ankyrin repeats (many copies); PF00710|Asparaginase, N-terminal; PF12796|Ankyrin repeats (3 copies); PF17763|Glutaminase/Asparaginase C-terminal domain",NA
"LOC105426657","uncharacterized protein LOC105426657",NA,NA
"LOC105426656","uncharacterized protein LOC105426656","PF07841|DM4/DM12 family",NA
"LOC105426656","uncharacterized protein LOC105426656","PF07841|DM4/DM12 family",NA
"LOC105426659","post-GPI attachment to proteins factor 6","PF12036|Protein of unknown function (DUF3522)","GO:0016021|integral component of membrane"
"LOC105426659","post-GPI attachment to proteins factor 6","PF12036|Protein of unknown function (DUF3522)","GO:0016021|integral component of membrane"
"LOC105426659","post-GPI attachment to proteins factor 6","PF12036|Protein of unknown function (DUF3522)","GO:0016021|integral component of membrane"
"LOC105426661","protein O-mannosyl-transferase 2","PF02815|MIR domain; PF02366|Dolichyl-phosphate-mannose-protein mannosyltransferase; PF16192|C-terminal four TMM region of protein-O-mannosyltransferase","GO:0000030|mannosyltransferase activity; GO:0006493|protein O-linked glycosylation; GO:0016020|membrane"
"LOC105426661","protein O-mannosyl-transferase 2","PF02815|MIR domain; PF02366|Dolichyl-phosphate-mannose-protein mannosyltransferase; PF16192|C-terminal four TMM region of protein-O-mannosyltransferase","GO:0000030|mannosyltransferase activity; GO:0006493|protein O-linked glycosylation; GO:0016020|membrane"
"LOC105426694","N-acetyltransferase 6 isoform X1","PF00583|Acetyltransferase (GNAT) family","GO:0008080|N-acetyltransferase activity"
"LOC105426694","N-acetyltransferase 6 isoform X1","PF00583|Acetyltransferase (GNAT) family","GO:0008080|N-acetyltransferase activity"
"LOC105426694","N-acetyltransferase 6 isoform X2","PF00583|Acetyltransferase (GNAT) family","GO:0008080|N-acetyltransferase activity"
"LOC105426660","flavin reductase (NADPH)","PF13460|NAD(P)H-binding",NA
"LOC105426662","uncharacterized protein LOC105426662 isoform X1","PF13912|C2H2-type zinc finger; PF00096|Zinc finger, C2H2 type; PF13894|C2H2-type zinc finger",NA
"LOC105426662","RE1-silencing transcription factor isoform X2","PF13912|C2H2-type zinc finger; PF00096|Zinc finger, C2H2 type; PF13894|C2H2-type zinc finger",NA
"LOC105426667","solute carrier family 35 member G1-like","PF00892|EamA-like transporter family","GO:0016020|membrane; GO:0016021|integral component of membrane"
"LOC105426695","ester hydrolase C11orf54 homolog","PF08925|Domain of Unknown Function (DUF1907)","GO:0005634|nucleus"
"LOC105426666","ester hydrolase C11orf54 homolog","PF08925|Domain of Unknown Function (DUF1907)","GO:0005634|nucleus"
"LOC105426665","ester hydrolase C11orf54 homolog","PF08925|Domain of Unknown Function (DUF1907)","GO:0005634|nucleus"
"LOC105426664","uncharacterized protein LOC105426664 isoform X1","PF00211|Adenylate and Guanylate cyclase catalytic domain; PF07701|Heme NO binding associated; PF08376|Nitrate and nitrite sensing","GO:0009190|cyclic nucleotide biosynthetic process; GO:0035556|intracellular signal transduction; GO:0004383|guanylate cyclase activity; GO:0006182|cGMP biosynthetic process"
"LOC105426664","uncharacterized protein LOC105426664 isoform X2","PF00211|Adenylate and Guanylate cyclase catalytic domain; PF07701|Heme NO binding associated; PF08376|Nitrate and nitrite sensing","GO:0009190|cyclic nucleotide biosynthetic process; GO:0035556|intracellular signal transduction; GO:0004383|guanylate cyclase activity; GO:0006182|cGMP biosynthetic process"
"LOC105426664","uncharacterized protein LOC105426664 isoform X3","PF00211|Adenylate and Guanylate cyclase catalytic domain; PF07701|Heme NO binding associated; PF08376|Nitrate and nitrite sensing","GO:0009190|cyclic nucleotide biosynthetic process; GO:0035556|intracellular signal transduction; GO:0004383|guanylate cyclase activity; GO:0006182|cGMP biosynthetic process"
"LOC105426663","uncharacterized protein LOC105426663",NA,NA
"LOC105426668","ankyrin repeat and zinc finger domain-containing protein 1-like isoform X1","PF18716|Vms1-associating treble clef domain; PF12796|Ankyrin repeats (3 copies); PF18826|Bacteroidetes VLRF1 release factor",NA
"LOC105426668","ankyrin repeat and zinc finger domain-containing protein 1-like isoform X2","PF18716|Vms1-associating treble clef domain; PF12796|Ankyrin repeats (3 copies); PF18826|Bacteroidetes VLRF1 release factor",NA
"LOC105426668","ankyrin repeat and zinc finger domain-containing protein 1-like isoform X2","PF18716|Vms1-associating treble clef domain; PF12796|Ankyrin repeats (3 copies); PF18826|Bacteroidetes VLRF1 release factor",NA
"LOC105426670","uncharacterized protein LOC105426670","PF15062|Haemopoietic lineage transmembrane helix",NA
"LOC105426671","myosin-IA","PF06017|Unconventional myosin tail, actin- and lipid-binding; PF00612|IQ calmodulin-binding motif; PF00063|Myosin head (motor domain)","GO:0003774|motor activity; GO:0016459|myosin complex; GO:0005515|protein binding; GO:0003774|motor activity; GO:0005524|ATP binding; GO:0016459|myosin complex"
"LOC105426673","ubiquitin carboxyl-terminal hydrolase 5","PF17807|Variant UBP zinc finger; PF00627|UBA/TS-N domain; PF00443|Ubiquitin carboxyl-terminal hydrolase; PF02148|Zn-finger in ubiquitin-hydrolases and other protein","GO:0004843|thiol-dependent ubiquitin-specific protease activity; GO:0016579|protein deubiquitination; GO:0008270|zinc ion binding"
"LOC105426672","serine/threonine-protein kinase TBK1","PF00069|Protein kinase domain; PF18396|TANK binding kinase 1 ubiquitin-like domain; PF18394|TANK-binding kinase 1 coiled-coil domain 1","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105426674","protein VAC14 homolog","PF12755|Vacuolar 14 Fab1-binding region; PF11916|Vacuolar protein 14 C-terminal Fig4p binding",NA
"LOC105426675","LOW QUALITY PROTEIN: nucleolar complex protein 3 homolog","PF03914|CBF/Mak21 family; PF07540|Nucleolar complex-associated protein",NA
"LOC105426676","leucine-rich repeat-containing protein 40-like","PF00560|Leucine Rich Repeat; PF13516|Leucine Rich repeat","GO:0005515|protein binding"
"LOC105426676","leucine-rich repeat-containing protein 40-like","PF00560|Leucine Rich Repeat; PF13516|Leucine Rich repeat","GO:0005515|protein binding"
"LOC105426678","membrane magnesium transporter 1","PF10270|Membrane magnesium transporter",NA
"LOC105426677","proteasome subunit alpha type-7-1","PF00227|Proteasome subunit; PF10584|Proteasome subunit A N-terminal signature","GO:0005839|proteasome core complex; GO:0051603|proteolysis involved in cellular protein catabolic process; GO:0006511|ubiquitin-dependent protein catabolic process; GO:0019773|proteasome core complex, alpha-subunit complex"
"LOC105426680","glutathione hydrolase 1 proenzyme-like","PF01019|Gamma-glutamyltranspeptidase",NA
"LOC105426681","ecdysteroid-regulated 16 kDa protein","PF02221|ML domain",NA
"LOC105423551","LOW QUALITY PROTEIN: dual specificity mitogen-activated protein kinase kinase dSOR1","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105423550","sodium/potassium-transporting ATPase subunit alpha-like","PF00690|Cation transporter/ATPase, N-terminus; PF00689|Cation transporting ATPase, C-terminus; PF13246|Cation transport ATPase (P-type); PF00122|E1-E2 ATPase; PF00702|haloacid dehalogenase-like hydrolase",NA
"LOC105423552","LOW QUALITY PROTEIN: uncharacterized F-box/LRR-repeat protein C02F5.7-like","PF00646|F-box domain; PF00076|RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","GO:0005515|protein binding; GO:0003676|nucleic acid binding"
"LOC105423554","CWF19-like protein 2 isoform X3","PF04676|Protein similar to CwfJ C-terminus 2; PF04677|Protein similar to CwfJ C-terminus 1",NA
"LOC105423554","CWF19-like protein 2 isoform X1","PF04676|Protein similar to CwfJ C-terminus 2; PF04677|Protein similar to CwfJ C-terminus 1",NA
"LOC105423554","CWF19-like protein 2 isoform X2","PF04676|Protein similar to CwfJ C-terminus 2; PF04677|Protein similar to CwfJ C-terminus 1",NA
"LOC105423557","HIRA-interacting protein 3-like isoform X1",NA,NA
"LOC105423557","HIRA-interacting protein 3-like isoform X2",NA,NA
"LOC105423556","uncharacterized protein LOC105423556 isoform X1","PF06297|PET Domain; PF00412|LIM domain","GO:0008270|zinc ion binding"
"LOC105423556","paxillin isoform X2","PF06297|PET Domain; PF00412|LIM domain","GO:0008270|zinc ion binding"
"LOC105423572","ATP-dependent RNA helicase DDX55-like","PF00270|DEAD/DEAH box helicase","GO:0003676|nucleic acid binding; GO:0005524|ATP binding"
"LOC105423574","ataxin-2 homolog, partial","PF06741|LsmAD domain",NA
"LOC105423558","uncharacterized protein LOC105423558","PF05388|Carboxypeptidase Y pro-peptide; PF07464|Apolipophorin-III precursor (apoLp-III)","GO:0004185|serine-type carboxypeptidase activity; GO:0005773|vacuole; GO:0005576|extracellular region; GO:0006869|lipid transport; GO:0008289|lipid binding"
"LOC105423559","uncharacterized protein LOC105423559","PF01442|Apolipoprotein A1/A4/E domain","GO:0005576|extracellular region; GO:0006869|lipid transport; GO:0008289|lipid binding; GO:0042157|lipoprotein metabolic process"
"LOC105423560","LOW QUALITY PROTEIN: uncharacterized protein LOC105423560",NA,NA
"LOC105423561","uncharacterized protein LOC105423561, partial",NA,NA
"LOC105423562","uncharacterized serine-rich protein C215.13-like",NA,NA
"LOC105423563","splicing factor ESS-2 homolog isoform X2","PF09751|Nuclear protein Es2",NA
"LOC105423563","splicing factor ESS-2 homolog isoform X1","PF09751|Nuclear protein Es2",NA
"LOC105423564","T-box transcription factor TBX1-A","PF00907|T-box","GO:0003700|DNA-binding transcription factor activity; GO:0006355|regulation of transcription, DNA-templated"
"LOC105423565","serine/threonine-protein phosphatase alpha-2 isoform","PF16891|Serine-threonine protein phosphatase N-terminal domain; PF00149|Calcineurin-like phosphoesterase","GO:0016787|hydrolase activity"
"LOC105423566","ran-specific GTPase-activating protein-like","PF00638|RanBP1 domain","GO:0046907|intracellular transport"
"LOC105423567","LOW QUALITY PROTEIN: endoplasmic reticulum resident protein 29","PF07912|ERp29, N-terminal domain; PF07749|Endoplasmic reticulum protein ERp29, C-terminal domain","GO:0005788|endoplasmic reticulum lumen; GO:0009306|protein secretion; GO:0005783|endoplasmic reticulum"
"LOC105423568","retinoblastoma-binding protein 5 homolog","PF00400|WD domain, G-beta repeat","GO:0005515|protein binding"
"LOC105423569","dynein-1-beta heavy chain, flagellar inner arm I1 complex-like, partial","PF08385|Dynein heavy chain, N-terminal region 1",NA
"LOC105423570","uncharacterized protein LOC105423570 isoform X1","PF00651|BTB/POZ domain","GO:0005515|protein binding"
"LOC105423570","uncharacterized protein LOC105423570 isoform X2","PF00651|BTB/POZ domain","GO:0005515|protein binding"
"LOC105423570","uncharacterized protein LOC105423570 isoform X3","PF00651|BTB/POZ domain","GO:0005515|protein binding"
"LOC105423570","uncharacterized protein LOC105423570 isoform X4","PF00651|BTB/POZ domain","GO:0005515|protein binding"
"LOC105423575","LOW QUALITY PROTEIN: UPF0428 protein CXorf56 homolog",NA,NA
"LOC105423576","F-actin-monooxygenase Mical","PF01494|FAD binding domain; PF00412|LIM domain; PF12130|Bivalent Mical/EHBP Rab binding domain; PF00307|Calponin homology (CH) domain","GO:0071949|FAD binding; GO:0005515|protein binding"
"LOC105423781","uncharacterized protein LOC105423781",NA,NA
"LOC105423777","uncharacterized protein LOC105423777",NA,NA
"LOC105423778","glutamate receptor-interacting protein 2-like","PF17820|PDZ domain; PF00595|PDZ domain","GO:0005515|protein binding"
"LOC105423778","glutamate receptor-interacting protein 2-like","PF17820|PDZ domain; PF00595|PDZ domain","GO:0005515|protein binding"
"LOC105423778","glutamate receptor-interacting protein 2-like","PF17820|PDZ domain; PF00595|PDZ domain","GO:0005515|protein binding"
"LOC105423778","glutamate receptor-interacting protein 2-like","PF17820|PDZ domain; PF00595|PDZ domain","GO:0005515|protein binding"
"LOC105423778","glutamate receptor-interacting protein 2-like","PF17820|PDZ domain; PF00595|PDZ domain","GO:0005515|protein binding"
"LOC105423780","uncharacterized protein LOC105423780",NA,NA
"LOC105425121","forkhead box protein P2-like",NA,NA
"LOC105425124","zinc finger protein castor homolog 1-like",NA,NA
"LOC105425123","uncharacterized protein LOC105425123",NA,NA
"LOC105425123","uncharacterized protein LOC105425123",NA,NA
"LOC105425122","alkaline phosphatase","PF00245|Alkaline phosphatase","GO:0016791|phosphatase activity"
"LOC105425126","uncharacterized protein LOC105425126 isoform X1","PF13920|Zinc finger, C3HC4 type (RING finger)",NA
"LOC105425126","uncharacterized protein LOC105425126 isoform X2","PF13920|Zinc finger, C3HC4 type (RING finger)",NA
"LOC105425126","uncharacterized protein LOC105425126 isoform X2","PF13920|Zinc finger, C3HC4 type (RING finger)",NA
"LOC105425126","uncharacterized protein LOC105425126 isoform X2","PF13920|Zinc finger, C3HC4 type (RING finger)",NA
"LOC105425126","uncharacterized protein LOC105425126 isoform X2","PF13920|Zinc finger, C3HC4 type (RING finger)",NA
"LOC105425126","uncharacterized protein LOC105425126 isoform X2","PF13920|Zinc finger, C3HC4 type (RING finger)",NA
"LOC105425125","pancreatic lipase-related protein 2 isoform X1","PF00151|Lipase","GO:0004806|triglyceride lipase activity"
"LOC105425125","pancreatic lipase-related protein 2 isoform X2","PF00151|Lipase","GO:0004806|triglyceride lipase activity"
"LOC105425127","uncharacterized protein LOC105425127",NA,NA
"LOC105425128","NAD kinase-like isoform X4","PF01513|ATP-NAD kinase","GO:0003951|NAD+ kinase activity; GO:0006741|NADP biosynthetic process"
"LOC105425128","NAD kinase-like isoform X6","PF01513|ATP-NAD kinase","GO:0003951|NAD+ kinase activity; GO:0006741|NADP biosynthetic process"
"LOC105425128","NAD kinase-like isoform X7","PF01513|ATP-NAD kinase","GO:0003951|NAD+ kinase activity; GO:0006741|NADP biosynthetic process"
"LOC105425128","NAD kinase-like isoform X3","PF01513|ATP-NAD kinase","GO:0003951|NAD+ kinase activity; GO:0006741|NADP biosynthetic process"
"LOC105425128","NAD kinase-like isoform X1","PF01513|ATP-NAD kinase","GO:0003951|NAD+ kinase activity; GO:0006741|NADP biosynthetic process"
"LOC105425128","NAD kinase-like isoform X2","PF01513|ATP-NAD kinase","GO:0003951|NAD+ kinase activity; GO:0006741|NADP biosynthetic process"
"LOC105425128","NAD kinase-like isoform X5","PF01513|ATP-NAD kinase","GO:0003951|NAD+ kinase activity; GO:0006741|NADP biosynthetic process"
"LOC105425128","NAD kinase-like isoform X5","PF01513|ATP-NAD kinase","GO:0003951|NAD+ kinase activity; GO:0006741|NADP biosynthetic process"
"LOC105426736","uncharacterized protein LOC105426736 isoform X2","PF02949|7tm Odorant receptor","GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane"
"LOC105426736","uncharacterized protein LOC105426736 isoform X1","PF02949|7tm Odorant receptor","GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane"
"LOC105426736","uncharacterized protein LOC105426736 isoform X3","PF02949|7tm Odorant receptor","GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane"
"LOC105426735","uncharacterized protein LOC105426735","PF02949|7tm Odorant receptor","GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane"
"LOC105426777","uncharacterized protein LOC105426777","PF02949|7tm Odorant receptor","GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane"
"LOC105426779","uncharacterized protein LOC105426779","PF02949|7tm Odorant receptor","GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane"
"LOC105426780","uncharacterized protein LOC105426780","PF02949|7tm Odorant receptor","GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane"
"LOC112552578","uncharacterized protein LOC112552578",NA,NA
"LOC112552579","uncharacterized protein LOC112552579","PF02949|7tm Odorant receptor","GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane"
"LOC105426781","uncharacterized protein LOC105426781","PF02949|7tm Odorant receptor","GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane"
"LOC112552580","uncharacterized protein LOC112552580","PF02949|7tm Odorant receptor","GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane"
"LOC112552581","LOW QUALITY PROTEIN: uncharacterized protein LOC112552581","PF02949|7tm Odorant receptor","GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane"
"LOC112552582","LOW QUALITY PROTEIN: uncharacterized protein LOC112552582",NA,NA
"LOC112552583","LOW QUALITY PROTEIN: uncharacterized protein LOC112552583","PF02949|7tm Odorant receptor","GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane"
"LOC105426782","odorant receptor 4-like","PF02949|7tm Odorant receptor","GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane"
"LOC105426783","uncharacterized protein LOC105426783","PF02949|7tm Odorant receptor","GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane"
"LOC105426737","uncharacterized protein LOC105426737","PF02949|7tm Odorant receptor","GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane"
"LOC112552577","odorant receptor 4-like, partial","PF02949|7tm Odorant receptor","GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane"
"LOC112552576","odorant receptor 4-like","PF02949|7tm Odorant receptor","GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane"
"LOC105426738","uncharacterized protein LOC105426738","PF02949|7tm Odorant receptor","GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane"
"LOC105426739","LOW QUALITY PROTEIN: uncharacterized protein LOC105426739","PF02949|7tm Odorant receptor","GO:0004984|olfactory receptor activity; GO:0005549|odorant binding; GO:0007608|sensory perception of smell; GO:0016020|membrane"
"LOC105426740","uncharacterized protein LOC105426740","PF13864|Calmodulin-binding",NA
"LOC105426741","nucleoside diphosphate kinase 6","PF00334|Nucleoside diphosphate kinase",NA
"LOC105426742","uncharacterized protein LOC105426742 isoform X1",NA,NA
"LOC105426742","uncharacterized protein LOC105426742 isoform X2",NA,NA
"LOC105426743","plancitoxin-1","PF03265|Deoxyribonuclease II","GO:0004531|deoxyribonuclease II activity; GO:0006259|DNA metabolic process"
"LOC105426743","plancitoxin-1","PF03265|Deoxyribonuclease II","GO:0004531|deoxyribonuclease II activity; GO:0006259|DNA metabolic process"
"LOC105426743","plancitoxin-1","PF03265|Deoxyribonuclease II","GO:0004531|deoxyribonuclease II activity; GO:0006259|DNA metabolic process"
"LOC105426744","protein vav isoform X2","PF00018|SH3 domain; PF00017|SH2 domain; PF00130|Phorbol esters/diacylglycerol binding domain (C1 domain); PF00169|PH domain; PF00621|RhoGEF domain; PF00307|Calponin homology (CH) domain","GO:0005515|protein binding; GO:0035556|intracellular signal transduction; GO:0005085|guanyl-nucleotide exchange factor activity"
"LOC105426744","protein vav isoform X1","PF00018|SH3 domain; PF00017|SH2 domain; PF00130|Phorbol esters/diacylglycerol binding domain (C1 domain); PF00169|PH domain; PF00621|RhoGEF domain; PF00307|Calponin homology (CH) domain","GO:0005515|protein binding; GO:0035556|intracellular signal transduction; GO:0005085|guanyl-nucleotide exchange factor activity"
"LOC105426745","torsin-1A","PF06309|Torsin","GO:0005524|ATP binding"
"LOC105426747","cytochrome b5-like isoform X1","PF00173|Cytochrome b5-like Heme/Steroid binding domain",NA
"LOC105426747","cytochrome b5-like isoform X2","PF00173|Cytochrome b5-like Heme/Steroid binding domain",NA
"LOC105426750","LOW QUALITY PROTEIN: b(0,+)-type amino acid transporter 1","PF13520|Amino acid permease","GO:0016020|membrane; GO:0022857|transmembrane transporter activity; GO:0055085|transmembrane transport"
"LOC105426749","protein MNN4 isoform X2","PF15375|Domain of unknown function (DUF4602)",NA
"LOC105426749","uncharacterized protein C1orf131 homolog isoform X1","PF15375|Domain of unknown function (DUF4602)",NA
"LOC105426748","uncharacterized protein LOC105426748 isoform X2","PF00857|Isochorismatase family; PF15985|KH domain; PF13499|EF-hand domain pair; PF14382|Exosome complex exonuclease RRP4 N-terminal region","GO:0003723|RNA binding; GO:0005509|calcium ion binding"
"LOC105426748","uncharacterized protein LOC105426748 isoform X1","PF00857|Isochorismatase family; PF15985|KH domain; PF13499|EF-hand domain pair; PF14382|Exosome complex exonuclease RRP4 N-terminal region","GO:0003723|RNA binding; GO:0005509|calcium ion binding"
"LOC105426751","uncharacterized protein LOC105426751, partial","PF10184|Uncharacterized conserved protein (DUF2358)",NA
"LOC105426753","DNA-directed RNA polymerase II subunit RPB7","PF03876|SHS2 domain found in N terminus of Rpb7p/Rpc25p/MJ0397; PF00575|S1 RNA binding domain","GO:0006351|transcription, DNA-templated; GO:0003676|nucleic acid binding"
"LOC112552575","uncharacterized protein LOC112552575","PF12926|Mitotic-spindle organizing gamma-tubulin ring associated",NA
"LOC105426754","LOW QUALITY PROTEIN: ribonuclease H1","PF01693|Caulimovirus viroplasmin; PF00075|RNase H","GO:0003676|nucleic acid binding; GO:0004523|RNA-DNA hybrid ribonuclease activity"
"LOC105426755","LOW QUALITY PROTEIN: rab-like protein 6","PF08477|Ras of Complex, Roc, domain of DAPkinase; PF00071|Ras family","GO:0003924|GTPase activity; GO:0005525|GTP binding"
"LOC105426757","histone-lysine N-methyltransferase SMYD3 isoform X2","PF01753|MYND finger",NA
"LOC105426757","histone-lysine N-methyltransferase SMYD3 isoform X1","PF01753|MYND finger",NA
"LOC105426758","surfeit locus protein 4 homolog","PF02077|SURF4 family","GO:0016021|integral component of membrane"
"LOC105426760","PH domain-containing protein DDB_G0287875 isoform X2","PF00010|Helix-loop-helix DNA-binding domain","GO:0046983|protein dimerization activity"
"LOC105426760","PH domain-containing protein DDB_G0287875 isoform X1","PF00010|Helix-loop-helix DNA-binding domain","GO:0046983|protein dimerization activity"
"LOC112552574","uncharacterized protein LOC112552574 isoform X3",NA,NA
"LOC112552574","uncharacterized protein LOC112552574 isoform X2",NA,NA
"LOC112552574","uncharacterized protein LOC112552574 isoform X1",NA,NA
"LOC105426761","putative inorganic phosphate cotransporter","PF07690|Major Facilitator Superfamily","GO:0022857|transmembrane transporter activity; GO:0055085|transmembrane transport"
"LOC105426784","uncharacterized protein LOC105426784",NA,NA
"LOC105426762","homogentisate 1,2-dioxygenase","PF04209|homogentisate 1,2-dioxygenase","GO:0004411|homogentisate 1,2-dioxygenase activity; GO:0006559|L-phenylalanine catabolic process; GO:0006570|tyrosine metabolic process"
"LOC105426763","uncharacterized protein LOC105426763","PF08357|SEFIR domain",NA
"LOC105426764","proto-oncogene tyrosine-protein kinase receptor Ret","PF07714|Protein tyrosine and serine/threonine kinase","GO:0004672|protein kinase activity; GO:0006468|protein phosphorylation"
"LOC105426765","synaptic vesicle glycoprotein 2B-like isoform X1","PF00083|Sugar (and other) transporter","GO:0016021|integral component of membrane; GO:0022857|transmembrane transporter activity; GO:0055085|transmembrane transport"
